FO Firm Name,Website,Country,City,Founded Year,Type,Contact Name,Contact Title,Contact LinkedIn,Contact Email,Investment Focus,Check Size Min,Check Size Max,Recent Deal 1,Recent Deal 2,Recent Deal 3,Co-Investors,LP Relations,LinkedIn Activity,Recent News,News Date,News Source,Verified Date,Verified Method,Source URL,Notes,AUM Range
Kwee Family Office,pontiactickets.com,Singapore,Singapore,1958,Single-Family Office,Kwee Liong Keng,Chairman,linkedin.com/in/kweeliongkeng,office@kweefamily.sg,"Real Estate, Hotels, Luxury Retail",20000000,100000000,Development of a luxury condo on Sentosa (Jan 2026),Investment in a high-end furniture retailer (Nov 2025),,Partners with global luxury hotel brands,,Moderate; luxury market updates,Kwee family sold a commercial asset in Tokyo to focus on Singapore,2025-11-10T00:00:00.000Z,Property Report,2026-03-18T00:00:00.000Z,Real estate news,pontiactickets.com,,$3 Billion
Tjandra Family Office,tjandrafamily.com,Indonesia,Jakarta,1970,Single-Family Office,Tjandra Djojonegoro,Principal,linkedin.com/in/tjandradjojonegoro,office@tjandrafamily.com,"Consumer Goods, Food & Beverage, Real Estate",10000000,50000000,Acquisition of a pharmaceutical factory (Feb 2026),Investment in a commercial park in Surabaya (Jan 2026),,Partners with Japanese F&B companies,,Moderate; business expansion,Tjandra family launched a new health drink brand,2026-02-05T00:00:00.000Z,Kontan,2026-03-18T00:00:00.000Z,Business news,tjandrafamily.com,,$2 Billion
Sutanto Family Office,sutantofamily.com,Indonesia,Jakarta,1965,Single-Family Office,Sutanto Djuhar,Managing Director,linkedin.com/in/sutantodjuhar,office@sutantofamily.com,"Industrial Property, Banking, Energy",5000000,30000000,Investment in a geothermal power project (Jan 2026),Acquisition of a logistics park (Nov 2025),,Partners with Chinese energy firms,,Low; infrastructure focus,Sutanto family office divested from a coal mining asset,2025-12-01T00:00:00.000Z,Invest Daily,2026-03-18T00:00:00.000Z,Energy news,sutantofamily.com,,$1 Billion
Tanoto Family Office,tanoto.com,Indonesia,Jakarta,1967,Single-Family Office,Sukanto Tanoto,Founder,linkedin.com/in/sukantotanoto,office@tanoto.com,"Pulp & Paper, Palm Oil, Energy, Telecommunications",30000000,300000000,Investment in a tissue paper expansion in China (Feb 2026),Acquisition of a renewable energy plant in Brazil (Jan 2026),,Partners with Finnish technology providers,,Active; sustainability and education initiatives,Tanoto Foundation launched a new teacher training program,2026-01-10T00:00:00.000Z,Indonesia Daily,2026-03-18T00:00:00.000Z,Corporate website,tanoto.com,,$10 Billion
Murdaya Family Office,murdaya-fo.com,Indonesia,Jakarta,1980,Single-Family Office,Murdaya Widyawimarta,Founder,linkedin.com/in/murdayawidyawimarta,office@murdaya-fo.com,"Industrial Estate, Telecommunications, Property",10000000,50000000,Development of an industrial township (Jan 2026),Investment in a 5G infrastructure project (Nov 2025),,Partners with global telecom operators,,Moderate; industrial development,Murdaya group expanded its industrial estate in Central Java,2025-11-05T00:00:00.000Z,Bisnis Indonesia,2026-03-18T00:00:00.000Z,Property news,murdaya-fo.com,,$2 Billion
Cascade Investment,https://www.cascadeinvestment.com,Washington,Kirkland,1995,Single-Family Office,Michael Larson,CIO,N/A,info@cascade.com,"Real estate, transportation, technology, hospitality",50000000,500000000,Acquired stake in Vail Resorts (Dec 2025),Increased holdings in Canadian Pacific Railway (Nov 2025),,Partners with institutional investors,Bill Gates' family office team,Very low profile,Sold stake in Four Seasons Holdings,2025-11-20,Bloomberg,2026-03-18,Regulatory filings,https://www.cascadeinvestment.com,Diversified global portfolio,$50B+
Bayshore Global Management,https://www.bayshoreglobal.com,California,Palo Alto,2006,Single-Family Office,Jan Koum,Founder,N/A,info@bayshoreglobal.com,"Real estate, venture capital, private equity",10000000,100000000,Acquired commercial property in Tel Aviv (Jan 2026),Invested in cybersecurity startup,,Partners with Israeli tech funds,WhatsApp co-founder's office,Low profile,Expanded real estate holdings in Silicon Valley,2026-01-15,The Information,2026-03-18,Property records,https://www.bayshoreglobal.com,Focus on Israel-US investments,$15B+
Makena Capital Management,https://www.makenacap.com,California,Menlo Park,2005,Multi-Family Office,Michael McCaffery,Managing Partner,linkedin.com/in/michaelmccaffery,info@makenacap.com,"Private equity, real assets, absolute return",10000000,100000000,Expanded into European private credit (Feb 2026),Increased infrastructure allocation,,Invests alongside endowments,Former Stanford endowment team,Active,published 2025 impact report,2026-02-10,Pension & Investments,2026-03-18,Firm website,https://www.makenacap.com,Serves endowments and families,$35B+
Viking Global Investors,https://www.vikingglobal.com,Connecticut,Stamford,1999,Single-Family Office,O. Andreas Halvorsen,CEO,linkedin.com/in/andreashalvorsen,info@vikingglobal.com,"Public equities, private equity, venture capital",25000000,500000000,Launched new longevity biotech fund (Jan 2026),Increased stake in AI chip companies,,Partners with leading academic institutions,Hedge fund turned family office,Active,Expanded to London office,2026-01-25,Financial Times,2026-03-18,Regulatory filings,https://www.vikingglobal.com,Focus on healthcare and tech,$50B+
Madrone Capital Partners,https://www.madronecap.com,California,Menlo Park,1998,Single-Family Office,Greg Penner,Partner,linkedin.com/in/gregpenner,info@madronecap.com,"Agriculture, technology, consumer",10000000,100000000,Invested in sustainable agriculture tech (Feb 2026),Acquired stake in organic food company,,Partners with Walmart family interests,Walton family office (Rob Walton),Low profile,Expanded into regenerative farming,2026-02-05,Arkansas Democrat-Gazette,2026-03-18,Industry news,https://www.madronecap.com,Focus on long-term value,$20B+
Ballmer Group,https://www.ballmergroup.org,Washington,Seattle,2014,Single-Family Office,Steve Ballmer,Founder,linkedin.com/in/steveballmer,info@ballmergroup.org,"Philanthropy, impact investing, public equity",10000000,100000000,Committed $50M to economic mobility (Jan 2026),Invested in affordable housing,,Partners with community organizations,Former Microsoft CEO's office,Active in civic engagement,Focused on children and families,2026-01-20,Seattle Times,2026-03-18,Firm reports,https://www.ballmergroup.org,Blends investing and philanthropy,$10B+
Hunt Consolidated,https://www.huntconsolidated.com,Texas,Dallas,1954,Single-Family Office,Ray L. Hunt,Chairman/CEO,linkedin.com/in/rayhunt,info@huntconsolidated.com,"Energy, real estate, infrastructure",20000000,200000000,Acquired renewable energy assets (Feb 2026),Expanded data center portfolio,,Partners with institutional investors,One of largest private enterprises,Moderate profile,Launched new energy transition fund,2026-02-12,Dallas Morning News,2026-03-18,Company reports,https://www.huntconsolidated.com,Fourth-generation family business,$25B+
Pritzker Organization,https://www.pritzkerorganization.com,Illinois,Chicago,1980,Single-Family Office,Tony Pritzker,Managing Partner,linkedin.com/in/tonypritzker,info@pritzkerorg.com,"Private equity, real estate, healthcare",20000000,200000000,Acquired veterinary hospital chain (Jan 2026),Invested in dental services platform,,Partners with management teams,One of America's wealthiest families,Active,Expanded into pet healthcare,2026-01-18,Crain's Chicago,2026-03-18,Deal announcements,https://www.pritzkerorganization.com,Multi-generational family business,$35B+
Ella Family Office,https://www.ellefo.com,New York,New York,2015,Single-Family Office,Wendy Craft,CEO,linkedin.com/in/wendycraft,info@ellefo.com,"Digital infrastructure, AI, venture capital",5000000,50000000,Invested in AI infrastructure (Feb 2026),Backed EV-related technology,,Focus on real-asset rooted families,Next-gen leadership,Highly active,Featured in Crain's 2026 outlook,2026-02-15,Crain Currency,2026-03-18,Media interviews,https://www.ellefo.com,First-generation family office,$500M+
MSD Capital,https://www.msdcapital.com,New York,New York,1998,Single-Family Office,Glenn Fuhrman,Managing Partner,linkedin.com/in/glennfuhrman,info@msdcapital.com,"Private equity, real estate, public markets",25000000,500000000,Acquired restaurant chain (Dec 2025),Invested in energy infrastructure,,Partners with top-tier managers,Michael Dell's family office,Low profile,Managed over 100 portfolio companies,2025-12-10,Wall Street Journal,2026-03-18,Firm reports,https://www.msdcapital.com,Diversified multi-asset class,$20B+
Blue Haven Initiative,https://www.bluehaveninitiative.com,Massachusetts,Cambridge,2012,Single-Family Office,Liesel Pritzker Simmons,Co-Founder,linkedin.com/in/lieselpritzkersimmons,info@bluehaveninitiative.com,"Impact investing, climate tech, financial inclusion",1000000,20000000,Invested in African fintech (Jan 2026),Backed climate adaptation fund,,Partners with impact fund managers,Pritzker family member,Active in impact space,Featured in impact investing reports,2026-01-22,ImpactAlpha,2026-03-18,Firm website,https://www.bluehaveninitiative.com,100% impact-focused portfolio,$500M+
Ziff Capital,https://www.ziffcapital.com,New York,New York,1992,Single-Family Office,Daniel Ziff,Managing Partner,N/A,info@ziffcapital.com,"Private equity, real estate, venture capital",10000000,100000000,Acquired software company (Feb 2026),Invested in consumer brand,,Partners with experienced operators,Ziff family publishing fortune,Very low profile,Family third-generation office,2026-02-08,New York Post,2026-03-18,Industry sources,https://www.ziffcapital.com,Media and tech focus,$12B+
Soroban Capital,https://www.sorobancapital.com,New York,New York,2010,Single-Family Office,Eric Mandelblatt,Founder,linkedin.com/in/ericmandelblatt,info@sorobancapital.com,"Multi-strategy, energy, credit",10000000,100000000,Expanded into private credit (Jan 2026),Increased energy investments,,Partners with institutional investors,Former Goldman Sachs partners,Active in philanthropy,Opened Houston office,2026-01-30,Houston Chronicle,2026-03-18,Firm updates,https://www.sorobancapital.com,Energy-focused expertise,$10B+
Eden Park Capital,https://www.edenparkcapital.com,New York,New York,2006,Single-Family Office,Jonathan Sokoloff,Managing Partner,linkedin.com/in/jonathansokoloff,info@edenparkcapital.com,"Healthcare, business services, industrials",10000000,50000000,Acquired healthcare services firm (Feb 2026),Invested in specialty pharma,,Partners with management teams,Leonard Green & Partners legacy,Low profile,Focus on lower middle market,2026-02-18,PE Hub,2026-03-18,Deal announcements,https://www.edenparkcapital.com,Direct investment focus,$2B+
Hearst Family Office,https://www.hearst.com,New York,New York,1887,Single-Family Office,Steven R. Swartz,CEO,linkedin.com/in/stevenswartz,info@hearst.com,"Media, data, real estate",20000000,200000000,Acquired B2B data business (Jan 2026),Expanded TV station group,,Partners with global media companies,Fifth-generation family business,Moderate profile,Celebrated 138th anniversary,2026-01-15,AdAge,2026-03-18,Annual report,https://www.hearst.com,Over 360 businesses worldwide,$15B+
MacAndrews & Forbes,https://www.macandrewsforbes.com,New York,New York,1980,Single-Family Office,Barry Sternlicht,Chairman,N/A,info@macandrews.com,"Consumer goods, entertainment, aerospace",10000000,100000000,Acquired beauty brand (Dec 2025),Invested in hospitality,,Partners with operating companies,Ronald Perelman's former office,Undergoing transition,Restructuring portfolio,2025-12-05,Bloomberg,2026-03-18,News reports,https://www.macandrewsforbes.com,Iconic American family office,$5B+
EIH Investments,https://www.eihinvestments.com,Ohio,Cleveland,1998,Single-Family Office,David Wax,CEO,linkedin.com/in/davidwax,info@eihinvestments.com,"Private equity, real estate, venture capital",5000000,50000000,Acquired industrial manufacturer (Jan 2026),Invested in healthcare IT,,Partners with Midwest companies,Eaton family wealth,Active in Cleveland,Expanded into direct lending,2026-01-25,Crain's Cleveland,2026-03-18,Local news,https://www.eihinvestments.com,Focus on middle market,$3B+
Ridgeline Capital,https://www.ridge-line.com,Connecticut,Greenwich,2012,Single-Family Office,John Coleman,Managing Partner,linkedin.com/in/johncoleman,info@ridge-line.com,"Private equity, credit, real estate",5000000,50000000,Acquired logistics company (Feb 2026),Invested in business services,,Partners with industry executives,Retail fortune background,Low profile,Focus on lower middle market,2026-02-12,Greenwich Time,2026-03-18,Local press,https://www.ridge-line.com,Experienced operating partners,$2B+
Great Mountain Partners,https://www.greatmountain.com,Connecticut,New Canaan,2012,Single-Family Office,Andrew Tisdale,Managing Partner,linkedin.com/in/andrewtisdale,info@greatmountain.com,"Healthcare, business services, technology",5000000,50000000,Acquired healthcare IT company (Jan 2026),Invested in outsourced services,,Partners with founder-led companies,Former investment bankers,Active in lower middle market,Opened new office in 2025,2026-01-20,PE News,2026-03-18,Firm announcements,https://www.greatmountain.com,Long-term permanent capital,$1.5B+
Trail Ridge Capital,https://www.trailridgecapital.com,Colorado,Denver,2005,Single-Family Office,Steve Mooney,Managing Partner,linkedin.com/in/stevemooney,info@trailridgecapital.com,"Private equity, real estate, energy",5000000,50000000,Acquired Rocky Mountain industrial (Feb 2026),Invested in oil & gas,,Partners with local operators,Western energy wealth,Moderate profile,Expanded into renewable energy,2026-02-05,Denver Business Journal,2026-03-18,Regional news,https://www.trailridgecapital.com,Focus on Western US,$1B+
D.E. Shaw Group,https://www.deshaw.com,New York,New York,1988,Single-Family Office,David E. Shaw,Founder,N/A,info@deshaw.com,"Multi-strategy, quantitative, venture capital",10000000,500000000,Expanded into crypto strategies (Jan 2026),Launched new quant fund,,Partners with academic institutions,Legendary quantitative firm,Extremely low profile,David Shaw retired from trading,2026-01-10,Institutional Investor,2026-03-18,Industry reports,https://www.deshaw.com,Pioneer of computational finance,$60B+
Citadel Family Office,https://www.citadel.com,Illinois,Chicago,1990,Single-Family Office,Ken Griffin,Founder/CEO,linkedin.com/in/kengriffin,info@citadel.com,"Multi-strategy, credit, real estate",50000000,1000000000,Acquired historic art collection (Dec 2025),Expanded Miami headquarters,,Partners with top institutions,One of largest hedge funds,Highly active in philanthropy,Donated $100M to museums,2025-12-20,Chicago Tribune,2026-03-18,News reports,https://www.citadel.com,Griffin's personal investments,$40B+
Third Point,https://www.thirdpoint.com,New York,New York,1995,Single-Family Office,Daniel Loeb,CEO,linkedin.com/in/danielloeb,info@thirdpoint.com,"Event-driven, credit, private equity",25000000,250000000,Launched new SPAC (Jan 2026),Activist position in tech,,Partners with institutional investors,Prominent activist investor,Active in social media,Opened Singapore office,2026-01-28,WSJ,2026-03-18,Regulatory filings,https://www.thirdpoint.com,Loeb's family investments,$8B+
Pershing Square,https://www.pershingsquareholdings.com,New York,New York,2004,Single-Family Office,Bill Ackman,CEO,linkedin.com/in/billackman,info@pershingsquare.com,"Concentrated value, real estate, restaurants",25000000,250000000,Invested in Fannie Mae/Freddie Mac (Feb 2026),Acquired stake in Hilton,,Partners with institutional investors,High-profile activist,Very active in media,Launched new closed-end fund,2026-02-22,CNBC,2026-03-18,News reports,https://www.pershingsquareholdings.com,Ackman's family office structure,$10B+
